,id,Период,Выручка
0,215348,препредыдущий_месяц,0.0
1,215348,текущий_месяц,3293.1
2,215348,предыдущий_месяц,0.0
3,215349,препредыдущий_месяц,4472.0
4,215349,текущий_месяц,4971.6
5,215349,предыдущий_месяц,5216.0
6,215350,препредыдущий_месяц,4826.0
7,215350,текущий_месяц,5058.4
8,215350,предыдущий_месяц,5457.5
9,215351,текущий_месяц,6610.4
10,215351,предыдущий_месяц,6158.0
11,215351,препредыдущий_месяц,4793.0
12,215352,предыдущий_месяц,5807.5
13,215352,препредыдущий_месяц,4594.0
14,215352,текущий_месяц,5872.5
15,215353,предыдущий_месяц,4738.5
16,215353,препредыдущий_месяц,5124.0
17,215353,текущий_месяц,5388.5
18,215354,предыдущий_месяц,5685.0
19,215354,текущий_месяц,5869.6
20,215354,препредыдущий_месяц,4503.0
21,215355,текущий_месяц,3772.6
22,215355,препредыдущий_месяц,4749.0
23,215355,предыдущий_месяц,3263.0
24,215356,текущий_месяц,4566.4
25,215356,препредыдущий_месяц,4433.0
26,215356,предыдущий_месяц,4146.5
27,215357,текущий_месяц,5986.3
28,215357,препредыдущий_месяц,0.0
29,215357,предыдущий_месяц,0.0
30,215358,текущий_месяц,4209.5
31,215358,препредыдущий_месяц,4727.0
32,215358,предыдущий_месяц,3488.0
33,215359,текущий_месяц,4735.0
34,215359,предыдущий_месяц,0.0
35,215359,препредыдущий_месяц,0.0
36,215360,предыдущий_месяц,5304.5
37,215360,текущий_месяц,5834.9
38,215360,препредыдущий_месяц,5555.0
39,215361,предыдущий_месяц,6400.0
40,215361,текущий_месяц,3789.7
41,215361,препредыдущий_месяц,4597.0
42,215362,предыдущий_месяц,4314.0
43,215362,текущий_месяц,4447.9
44,215362,препредыдущий_месяц,4765.0
45,215363,предыдущий_месяц,6010.0
46,215363,текущий_месяц,6128.3
47,215363,препредыдущий_месяц,4633.0
48,215364,текущий_месяц,5484.8
49,215364,препредыдущий_месяц,4942.0
50,215364,предыдущий_месяц,5795.5
51,215365,препредыдущий_месяц,4190.0
52,215365,предыдущий_месяц,4577.0
53,215365,текущий_месяц,4799.3
54,215366,препредыдущий_месяц,4335.0
55,215366,предыдущий_месяц,5035.5
56,215366,текущий_месяц,5338.4
57,215367,препредыдущий_месяц,4668.0
58,215367,предыдущий_месяц,5164.5
59,215367,текущий_месяц,5493.4
60,215368,препредыдущий_месяц,4536.0
61,215368,предыдущий_месяц,5823.0
62,215368,текущий_месяц,5591.6
63,215369,предыдущий_месяц,3593.0
64,215369,текущий_месяц,3842.6
65,215369,препредыдущий_месяц,4931.0
66,215370,текущий_месяц,4840.3
67,215370,препредыдущий_месяц,4535.0
68,215370,предыдущий_месяц,5235.5
69,215371,текущий_месяц,6937.7
70,215371,препредыдущий_месяц,4742.0
71,215371,предыдущий_месяц,6809.0
72,215372,текущий_месяц,4092.2
73,215372,препредыдущий_месяц,4762.0
74,215372,предыдущий_месяц,3866.0
75,215373,текущий_месяц,5161.1
76,215373,препредыдущий_месяц,4293.0
77,215373,предыдущий_месяц,4632.0
78,215374,препредыдущий_месяц,4666.0
79,215374,предыдущий_месяц,5762.5
80,215374,текущий_месяц,5720.9
81,215375,предыдущий_месяц,5253.5
82,215375,текущий_месяц,5633.1
83,215375,препредыдущий_месяц,4715.0
84,215376,предыдущий_месяц,6061.0
85,215376,текущий_месяц,6209.2
86,215376,препредыдущий_месяц,4723.0
87,215377,предыдущий_месяц,5096.5
88,215377,текущий_месяц,5872.6
89,215377,препредыдущий_месяц,4273.0
90,215378,предыдущий_месяц,3543.0
91,215378,текущий_месяц,4364.6
